"","ssvid","best_flag","best_vessel_class","vessel_name"
"239","412422122","CHN","squid_jigger","DONGZHOU22"
"240","412422122","CHN","squid_jigger",NA
"241","412422122","CHN","fishing","ZHEPUYU33127"
"242","412421356","CHN","squid_jigger",NA
"243","412421356","CHN","squid_jigger","JINHAI616"
"244","412421356","CHN","squid_jigger","88388"
"245","412421356","CHN","squid_jigger","ZHEPUYU68837"
"246","412421356","CHN","squid_jigger","ZHELINYU21201"
"247","412440733","CHN","squid_jigger","FUYUANYU7606"
"248","412440729","CHN","squid_jigger","FUYUANYU7603"
"249","412331008","CHN","squid_jigger","LUYANYUANYU11"
"250","412336832","CHN","squid_jigger","LURONGYUANYU702"
"251","412331127","CHN","squid_jigger","LURONGYUANYU729"
"252","412331127","CHN","fishing","LUARONGYUANYUTTUFJH"
"253","412331127","CHN","fishing",NA
"254","150402981",NA,NA,NA
"255","412440661","CHN","squid_jigger","FUYUANYU7871"
"256","412440661","CHN","squid_jigger","WANGBIAO2301"
"257","412440661","CHN","squid_jigger",NA
"258","412549053","CHN","squid_jigger","HAIFENGLONG5"
"259","412440452","CHN","squid_jigger","FUYUANYU7880"
"260","412440604","CHN","squid_jigger","7884"
"261","412440604","CHN","squid_jigger","FUYUANYU7884"
"262","412549091","CHN","squid_jigger","HONGPU12"
"263","412549091","CHN","squid_jigger",NA
"264","412334079","CHN","squid_jigger","LURONGYANYU608"
"265","412334079","CHN","squid_jigger",NA
"266","412420948","CHN","squid_jigger","SHUNHANG18"
"267","412420948","CHN","squid_jigger","SHUNXIN18"
"268","412420948","CHN","squid_jigger","SHUNXING18"
"269","150402944","CHN","squid_jigger","SHUNHANG2"
"270","150402944","CHN","squid_jigger","FUYUANYU9993"
"271","150402944","CHN","squid_jigger","LURONGYUANYU277"
"272","150402944","CHN","squid_jigger","SHUNHANG1"
"273","412549279","CHN","squid_jigger","SHUNZE836"
"274","412336833","CHN","squid_jigger","LURONGYUANYU701"
"275","412549218","CHN","squid_jigger","YINGHAI798"
"276","412549101","CHN","squid_jigger","HONGRUN18"
"277","412331036","CHN","squid_jigger","LUYANYUANYU8"
"278","412550615","CHN","pole_and_line","7885"
"279","412550615","CHN","pole_and_line","FUYUANYU7885"
"280","412550615","CHN","pole_and_line","7888"
"281","412354281","CHN","squid_jigger","SUYUANYU6"
"282","412331074","CHN","squid_jigger","LURONGYUANYU179"
"283","412421114","CHN","squid_jigger","NINGTAI52"
"284","412549298","CHN","squid_jigger","LURONGYUANYU836"
"285","412440734","CHN","squid_jigger","FUYUANYU7611"
"286","412440734","CHN","squid_jigger",NA
"287","412440691","CHN",NA,"XMPILOTBOAT13"
"288","412440691","CHN",NA,"FUYUANYU7888"
"289","412549165","CHN","squid_jigger","MINGXIANG889"
"290","513083299",NA,NA,NA
"291","412421174","CHN","squid_jigger","HENGXIN16"
"292","412440555","CHN","squid_jigger","FUYUANYU7882"
"293","412440731","CHN","squid_jigger","FUYUANYU7604"
"294","412440657","CHN","squid_jigger",NA
"295","412440657","CHN","squid_jigger","FUYUANYU7869"
"296","412440657","CHN","squid_jigger","FUYUANYU7868"
"297","725000317","CHL","supply_vessel","TOUCAN"
"298","412549092","CHN","squid_jigger","HONGPU16"
"299","412420953","CHN","squid_jigger","NINGTAI56"
"300","412420581","CHN","squid_jigger","RUNDA618"
"301","412420581","CHN","squid_jigger",NA
"302","412549159","CHN","squid_jigger","SHUNZE77"
"303","412549159","CHN","squid_jigger","JULONGJIAYA32"
"304","412333344","CHN","squid_jigger","LURONGYUANYU708"
"305","412333344","CHN","squid_jigger","LUWEIYU2536"
"306","412333344","CHN","squid_jigger",NA
"307","412333344","CHN","squid_jigger","LURISHANYUYANG66101"
"308","412421072","CHN","squid_jigger","WANXIN7"
"309","412337347","CHN","squid_jigger",NA
"310","412337347","CHN","squid_jigger","LUQINGYUANYU279"
"311","412331089","CHN","squid_jigger","JINGYUAN626"
"312","412421177","CHN","squid_jigger","SHUNZE58"
"313","412421177","CHN","fishing","SHUNZE58"
"314","412000000","CHN",NA,NA
"315","412421047","CHN","squid_jigger","DONGZHOU21"
"316","412331079","CHN","squid_jigger","LURONGYUANYU867"
"317","412331079","CHN","squid_jigger","LURONGYUANYU698"
"318","412440777","CHN","squid_jigger","FUYUANYU7628"
"319","412440769","CHN","squid_jigger","FUYAUNYU7620"
"320","412333738","CHN","squid_jigger","LURONGYUANYU772"
"321","412333738","CHN","squid_jigger",NA
"322","412424703","CHN","squid_jigger","JIADE22"
"323","412465014","CHN","squid_jigger","SHENGANGSHUN6"
"324","412465014","CHN","squid_jigger",NA
"325","412690720","CHN","squid_jigger",NA
"326","412690720","CHN","squid_jigger","ZHOUYU1"
"327","412690720","CHN","squid_jigger","ZHOUYUY1HAO"
"328","412690720","CHN","squid_jigger","ZHOUYUYIHAO"
"329","412420432","CHN","squid_jigger",NA
"330","412420432","CHN","squid_jigger","HANYI7"
"331","412420432","CHN","squid_jigger","HAIYI7"
"332","412435469","CHN","squid_jigger","ZHEXIANGYU29813"
"333","412435469","CHN","squid_jigger","OUYA18"
"334","412328764","CHN","squid_jigger","HAIYANG6"
"335","412549353","CHN","squid_jigger","LUQINGYUANYU769"
