"","ssvid","seg_id","start_seg","end_seg","seg_length","positions","overlapping_seg","ndx"
"35","412334074","412334074-2022-05-16T02:33:19.000000Z",2022-05-16 02:33:19,2022-05-16 08:41:55,0.255972222222222,12,TRUE,321
"36","412334074","412334074-2022-05-16T10:19:54.000000Z",2022-05-16 10:19:54,2022-05-16 12:21:38,0.084537037037037,6,FALSE,322
"37","412334074","412334074-2022-05-16T10:22:12.000000Z",2022-05-16 10:22:12,2022-05-16 13:18:19,0.122303240740741,11,TRUE,323
"38","412334074","412334074-2022-05-17T00:29:34.000000Z",2022-05-17 00:29:34,2022-05-17 12:56:07,0.5184375,45,FALSE,325
"39","412334074","412334074-2022-05-17T01:03:55.000000Z",2022-05-17 01:03:55,2022-05-17 10:37:47,0.398522685183971,12,TRUE,326
"40","412334074","412334074-2022-05-17T12:57:32.000000Z",2022-05-17 12:57:32,2022-05-18 01:55:18,0.540115740740741,34,FALSE,327
"41","412334074","412334074-2022-05-17T16:53:59.000000Z",2022-05-17 16:53:59,2022-05-18 01:06:31,0.342037037037037,6,TRUE,328
"42","412334074","412334074-2022-05-18T01:56:48.000000Z",2022-05-18 01:56:48,2022-05-18 15:19:32,0.557453703703704,33,FALSE,329
"43","412334074","412334074-2022-05-18T02:44:52.000000Z",2022-05-18 02:44:52,2022-05-18 12:04:24,0.388564814814815,9,TRUE,330
"44","412334074","412334074-2022-05-18T16:36:14.000000Z",2022-05-18 16:36:14,2022-05-19 01:40:49,0.37818287037037,17,FALSE,331
"45","412334074","412334074-2022-05-18T16:37:40.000000Z",2022-05-18 16:37:40,2022-05-19 01:10:06,0.355856481481481,12,TRUE,332
"46","412334074","412334074-2022-05-19T02:42:16.000000Z",2022-05-19 02:42:16,2022-05-21 21:32:05,2.78459490740741,54,FALSE,333
"47","412334074","412334074-2022-05-19T02:50:46.000000Z",2022-05-19 02:50:46,2022-05-21 21:31:57,2.77859953703704,125,TRUE,334
"48","412334074","412334074-2022-05-21T23:34:44.000000Z",2022-05-21 23:34:44,2022-05-22 07:10:11,0.316284722222222,22,FALSE,335
"49","412334074","412334074-2022-05-22T05:23:08.000000Z",2022-05-22 05:23:08,2022-05-22 07:07:12,0.0722685185185185,6,TRUE,336
