msgid,source,type,ssvid,timestamp,lon,lat,speed,course,heading,shipname,callsign,destination,imo,shiptype,receiver_type,receiver,length,width,status,class_b_cs_flag,seg_id,n_shipname,n_callsign,n_imo,static_name,next_name,static_lat,static_lon
2af3d2c5-0240-2806-419c-16ff25e6ca0a,spire,AIS.19,150402944,2022-07-18 15:24:19.000000 UTC,-58.62821667,-44.65355833,8,199.9,210,FUYUANYU717,,,,"Cargo, all ships of this type",satellite,FM148,50,10,,,150402944-2022-07-18T07:49:12.000000Z,FUYUANYU717,,,FUYUANYU717,FUYUANYU9993,-44.65355833,-58.62821667
0cffa0dc-bb97-6ad2-42a1-ec74c8121642,spire,AIS.5,150402944,2022-07-25 12:29:51.000000 UTC,,,,,,FUYUANYU9993,,,0,Not available,satellite,FM136,50,10,,,,FUYUANYU9993,,,FUYUANYU9993,LURONGYUANYU277,-46.08157333,-60.26256833
9370e515-2d45-dabc-87dc-df2a8099799b,spire,AIS.5,150402944,2022-08-05 01:38:30.000000 UTC,,,,,,LURONGYUANYU277,BCLN2,,0,Not available,satellite,FM141,50,10,,,,LURONGYUANYU277,BCLN2,,LURONGYUANYU277,LURONGYUANYU195,-52.02554833,-75.47677333
9c7c0895-f0e6-fdab-a778-2b88986d5e5b,spire,AIS.19,150402944,2022-08-05 01:51:16.000000 UTC,-75.46379333,-52.00240667,8.8,356.7,355,LURONGYUANYU195,,,,"Cargo, all ships of this type",satellite,FM136,50,10,,,150402944-2022-04-21T18:16:31.000000Z,LURONGYUANYU195,,,LURONGYUANYU195,LURONGYUANYU277,-52.00240667,-75.46379333
8f48f27e-e896-5312-8aa2-44babecbf91e,orbcomm,AIS.5,150402944,2022-12-28 09:59:37.000000 UTC,,,,,,LURONGYUANYU277,BCLN2,,0,Not available,satellite,rORBCOMM999,50,10,,,,LURONGYUANYU277,BCLN2,,LURONGYUANYU277,FUYUANYU9993,-46.66887833,-60.87960833
44bf377b-f3a5-55fe-85e0-29bb4a051f56,orbcomm,AIS.19,150402947,2020-04-07 02:30:12.000000 UTC,-121.2978167,3.969403333,10.10000038,282.2000122,278,SHUN HANG 68,,,,Fishing,satellite,rORBCOMM999,61,10,,,150402947-2020-02-12T01:03:50.000000Z,SHUNHANG68,,,SHUN HANG 68,,3.969403333,-121.2978167
6e792293-1805-0f9c-f10a-bae0d1f04501,spire,AIS.19,150402947,2020-10-21 01:01:23.000000 UTC,122.4485933,36.876725,2.8,311,311,,,,,Fishing,terrestrial,,61,10,,,150402947-2020-10-21T00:34:44.000000Z,,,,,LURONGYUANYU717,36.876725,122.4485933
08d4d997-2cfa-d1a2-8707-d702a48b160f,spire,AIS.19,150402947,2021-06-30 12:30:44.000000 UTC,-146.4502367,6.94022,8.5,282.4,282,LURONGYUANYU717,,,,Fishing,satellite,FM128,61,10,,,150402947-2021-06-07T04:13:17.000000Z,LURONGYUANYU717,,,LURONGYUANYU717,LURONGYUANYU197,6.94022,-146.4502367
bb7aa11c-230a-6f36-022c-6154c56b164e,spire,AIS.19,150402947,2021-07-13 03:43:19.000000 UTC,165.7773067,22.92351167,9.1,288.2,286,LURONGYUANYU197,,,,Fishing,satellite,FM103,61,10,,,150402947-2021-06-07T04:13:17.000000Z,LURONGYUANYU197,,,LURONGYUANYU197,LURONGYUANYU277,22.92351167,165.7773067
1e693e17-7e47-c078-2496-bce743742c44,spire,AIS.19,150402947,2021-07-13 08:42:57.000000 UTC,167.892715,22.61632667,10,292.7,292,LURONGYUANYU277,,,,"Cargo, all ships of this type",satellite,FM121,50,10,,,150402947-2021-07-13T08:42:57.000000Z,LURONGYUANYU277,,,LURONGYUANYU277,FUYUANYU717,22.61632667,167.892715
54972854-267f-54fa-fb4c-14a5e5883585,spire,AIS.19,150402947,2022-06-27 15:04:48.000000 UTC,-60.17693833,-45.96234333,4.8,184.6,180,FUYUANYU717,,,,Fishing,satellite,FM141,61,10,,,150402947-2022-06-26T07:39:28.000000Z,FUYUANYU717,,,FUYUANYU717,LURONGYUANYU195,-45.96234333,-60.17693833
7bb43c2d-6aaf-5e5b-af7b-054ac284a91c,orbcomm,AIS.19,150402949,2020-04-05 14:06:11.000000 UTC,-115.28045,2.954083333,9.5,279.1000061,278,SHUN  HANG67,,,,Fishing,satellite,rORBCOMM999,50,10,,,150402949-2020-02-26T00:04:19.000000Z,SHUNHANG67,,,SHUN  HANG67,IU RONG 6,2.954083333,-115.28045
92eea6e5-51be-7fa3-056e-389b3d755692,spire,AIS.19,150402949,2020-11-23 05:12:51.000000 UTC,103.818955,1.224898333,0.2,213,212,IU RONG 6,,,,Fishing,terrestrial,,50,10,,,150402949-2020-11-22T01:03:22.000000Z,IURONG6,,,IU RONG 6,SHUN HANG 6,1.224898333,103.818955
0ea69400-e178-6060-63b1-a67fa94b3027,spire,AIS.19,150402949,2021-02-17 18:05:39.000000 UTC,-60.24585333,-45.30796,8.2,237.8,238,SHUN HANG 6,,,,Fishing,satellite,FM130,50,10,,,150402949-2021-01-20T00:55:02.000000Z,SHUNHANG6,,,SHUN HANG 6,HAI HANG 6,-45.30796,-60.24585333
eaa032e3-b843-9960-50ff-4f992548b8a1,spire,AIS.19,150402949,2021-11-09 07:50:20.000000 UTC,-81.41164,-15.68182167,0.3,285.3,274,HAI HANG 6,,,,Fishing,satellite,FM148,50,10,,,150402949-2021-11-07T22:19:38.000000Z,HAIHANG6,,,HAI HANG 6,LURONGYUANYU197,-15.68182167,-81.41164
ffd0fd3e-7de0-9909-2be1-8aaac78095f3,spire,AIS.19,150402949,2021-12-01 14:24:26.000000 UTC,-70.92161333,-53.24041,0.3,181.4,162,LURONGYUANYU197,,,,Fishing,satellite,FM118,50,10,,,150402949-2021-11-19T17:06:59.000000Z,LURONGYUANYU197,,,LURONGYUANYU197,LUQINGYUANYU290,-53.24041,-70.92161333
7fac8582-1e4e-6aab-b0db-4fb168c9973f,spire,AIS.19,150402949,2022-07-02 15:51:55.000000 UTC,0.269315,-31.72090167,8,111.4,92,LUQINGYUANYU290,,,,Fishing,satellite,FM105,50,10,,,150402949-2022-06-21T04:11:42.000000Z,LUQINGYUANYU290,,,LUQINGYUANYU290,LURONGYUANYU197,-31.72090167,0.269315
ad2c4b5c-6c2d-5bdf-8a06-2434698170d5,orbcomm,AIS.19,150402951,2020-01-09 01:29:49.000000 UTC,-55.80794833,-35.074555,8.5,75.5,75,,,,,"Cargo, all ships of this type",terrestrial,rORBCOMM000,50,10,,,150402951-2019-11-23T09:34:08.000000Z,,,,,SHUNHANG  2,-35.074555,-55.80794833
e8171e62-1659-ddcc-3c2d-3dd9cf821a11,spire,AIS.19,150402951,2021-02-20 03:02:53.000000 UTC,-60.53682833,-47.13794833,2.3,37.7,37,SHUNHANG2,,,,"Cargo, all ships of this type",satellite,FM46,50,10,,,150402951-2020-09-16T13:12:20.000000Z,SHUNHANG2,,,SHUNHANG2,HAIHANG2,-47.13794833,-60.53682833
71119442-ac18-6a08-bd3e-375eea0fa1b1,spire,AIS.19,150402951,2021-05-10 19:00:45.000000 UTC,-60.73002833,-46.737785,0.7,315.6,315,HAIHANG2,,,,"Cargo, all ships of this type",satellite,FM104,50,10,,,150402951-2021-03-11T04:14:52.000000Z,HAIHANG2,,,HAIHANG2,LURONGYUANYU278,-46.737785,-60.73002833
3981ea39-9b28-51ed-1327-e550ed4da915,spire,AIS.19,150402951,2021-07-28 12:39:19.000000 UTC,129.0382067,35.053345,0.2,33.3,33,LURONGYUANYU278,,,,"Cargo, all ships of this type",terrestrial,,50,10,,,150402951-2021-07-27T11:39:18.000000Z,LURONGYUANYU278,,,LURONGYUANYU278,LURONGYUANYU20TT,35.053345,129.0382067
ecd861bd-8e2e-e4c9-763a-f9ffa61265f4,spire,AIS.19,150402951,2021-07-28 15:03:27.000000 UTC,129.0388167,35.05344,0.5,33.3,33,LURONGYUANYU20TT,,,,"Cargo, all ships of this type",terrestrial,,50,10,,,150402951-2021-07-27T11:39:18.000000Z,LURONGYUANYU20TT,,,LURONGYUANYU20TT,LURONGYUANYU278,35.05344,129.0388167
c8790505-4852-c2f1-dec9-0341eb189f12,spire,AIS.19,150402951,2021-11-30 14:21:09.000000 UTC,-60.64904167,-46.09448833,0,204.5,204,LURONGYUANYU278,,,,"Cargo, all ships of this type",satellite,FM122,50,10,,,150402951-2021-11-30T14:21:09.000000Z,LURONGYUANYU278,,,LURONGYUANYU278,HAIHANG2,-46.09448833,-60.64904167
f4afaf51-83d4-ec9e-6027-cbd3386596b6,spire,AIS.5,150402951,2021-12-20 11:19:18.000000 UTC,,,,,,HAIHANG2,,,8786584,Fishing,satellite,FM42,59,11,,,,HAIHANG2,,,HAIHANG2,FUYUANYU9994,-45.22080333,-60.33673167
e53b523e-5f47-22c7-88f9-2076869afa69,spire,AIS.19,150403003,2021-07-10 02:28:06.000000 UTC,-179.7748167,17.360055,36,291.4,291,LURONGYUANYU277,,,,"Cargo, all ships of this type",satellite,FM113,50,10,,,150403003-2021-07-10T02:28:06.000000Z,LURONGYUANYU277,,,LURONGYUANYU277,LURONGYUANYU278,17.360055,-179.7748167
