"","msgid","ssvid","seg_id","timestamp","lat","lon","speed_knots","heading","course","meters_to_prev","implied_speed_knots","hours","night","nnet_score","logistic_score","night_loitering","type","source","receiver_type","distance_from_port_m","distance_from_shore_m","distance_from_sat_km","is_fishing_vessel","AIS_class","day"
"414","1861cd78-4bac-7b81-5a80-16ab7c227ad9","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 11:46:01,-44.545205,-58.505975,1,511,62.2,28.8306480369836,0.934026504454159,0.0166666666666667,FALSE,1,0,0,"AIS.1","spire","satellite",541216.062,459000,NA,TRUE,"A",18
"415","ef0293ae-2482-9bd2-b28a-6938b089dbe6","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 11:47:53,-44.544985,-58.505395,0.9,511,63.8,52.0685275493053,0.903677189472237,0.0311111111111111,FALSE,1,0,0,"AIS.1","spire","satellite",540984,458000,NA,TRUE,"A",18
"416","f1a5a0db-11a6-12c6-fb8b-191640a83a35","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 11:48:53,-44.5448966666667,-58.5050483333333,1,511,75,29.1760436375575,0.945216285725952,0.0166666666666667,FALSE,1,0,0,"AIS.1","spire","satellite",540984,458000,NA,TRUE,"A",18
"417","16fc9297-ff3f-9c6f-005a-faa91c6dd923","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 11:49:52,-44.5449066666667,-58.5046866666667,0.9,511,95.7,28.6830314412354,0.944994070781394,0.0163888888888889,FALSE,1,0,0,"AIS.1","spire","satellite",541759.312,459000,NA,TRUE,"A",18
"418","bc224264-8a16-417d-789b-5ca05e616808","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 11:51:32,-44.5449433333333,-58.50404,1,511,100.9,51.4093704086951,0.999305623878297,0.0277777777777778,FALSE,NA,0,0,"AIS.1","spire","satellite",541759.312,459000,NA,TRUE,"A",18
"419","3ab336ca-2556-b926-a382-8f4e8dc29b0f","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 11:52:02,-44.5449533333333,-58.5038566666667,0.9,511,95.5,14.5715631877569,0.94414986518752,0.00833333333333333,FALSE,NA,0,0,"AIS.1","spire","satellite",541759.312,459000,NA,TRUE,"A",18
"420","9303474e-495d-f93d-04da-953f316024cf","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 11:53:13,-44.5449516666667,-58.5034383333333,1,511,83.4,33.1528142811487,0.907649344450457,0.0197222222222222,FALSE,NA,0,0,"AIS.1","spire","satellite",541759.312,459000,NA,TRUE,"A",18
"421","ade08b1e-9d3d-3019-7578-10242c5a8e52","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 11:54:24,-44.5448916666667,-58.503005,0.9,511,78.4,34.9832386552455,0.957762238913229,0.0197222222222222,FALSE,NA,0,0,"AIS.1","spire","satellite",541759.312,459000,NA,TRUE,"A",18
"422","0f5e9af1-c4df-cb92-aa7e-5072ae596661","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 11:55:04,-44.5448716666667,-58.5027666666667,0.9,511,82.5,19.0178885368489,0.924183802392441,0.0111111111111111,FALSE,0,0,0,"AIS.1","spire","satellite",541759.312,459000,NA,TRUE,"A",18
"423","7ead0383-6896-5bbe-bfe4-d8fcc22fbc02","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 11:56:03,-44.5448166666667,-58.5024083333333,1,511,82.0999984741211,29.0486499058446,0.957039773897945,0.0163888888888889,FALSE,0,0,0,"AIS.1","orbcomm","satellite",541759.312,459000,NA,TRUE,"A",18
