"","ssvid","positions","names"
"112","150400487",7,"NA"
"113","150400502",7,"NA; LURONGYUANYU 715"
"114","150400505",7,"NA"
"115","150400510",7,"NA"
"116","150400511",7,"NA"
"117","150402953",7,"NA"
"118","150402962",7,"NA"
"119","150402971",7,"NA"
"120","150402979",7,"NA"
"121","150402983",7,"NA"
"122","150402994",7,"NA"
"123","150403000",7,"NA; HAI HANG 6"
"124","150403004",7,"NA"
"125","150400452",6,"NA"
"126","150400460",6,"NA; FUYUANYU 715"
"127","150400461",6,"NA"
"128","150400468",6,"NA"
"129","150400476",6,"LURONGYUANYU 715; NA"
"130","150400493",6,"NA"
"131","150400498",6,"NA"
"132","150400499",6,"NA; LURONGYUANYU 715"
"133","150402917",6,"NA; U RONG 5"
"134","150402956",6,"NA"
"135","150402964",6,"NA"
"136","150402968",6,"NA"
"137","150402982",6,"NA"
"138","150402992",6,"NA"
"139","150403002",6,"NA; HAIHANG1"
"140","150403007",6,"NA"
"141","150400450",5,"NA; LURONGYUANYU 715"
"142","150400459",5,"NA"
"143","150400471",5,"NA; LURONGYUANYU 715"
"144","150400472",5,"NA"
"145","150400475",5,"NA"
"146","150400480",5,"NA; FUYUANYU 715"
"147","150400484",5,"NA"
"148","150400486",5,"NA"
"149","150400491",5,"NA"
"150","150400492",5,"NA"
"151","150400503",5,"NA"
"152","150400506",5,"NA"
"153","150402894",5,"NA"
"154","150402957",5,"NA"
"155","150402959",5,"NA"
"156","150402981",5,"NA"
"157","150400454",4,"NA"
"158","150400467",4,"FUYUANYU 715; NA; LURONGYUANYU 715"
"159","150400469",4,"NA; HAIHANG3"
"160","150400478",4,"LURONGYUANYU 715; NA"
"161","150400494",4,"NA"
"162","150400496",4,"NA"
"163","150400497",4,"NA"
"164","150400500",4,"NA"
"165","150400501",4,"NA"
"166","150400507",4,"NA"
"167","150400448",3,"NA"
"168","150400455",3,"NA"
"169","150400458",3,"NA"
"170","150400482",3,"NA"
"171","150402895",3,"NA"
"172","150402946",3,"NA"
"173","150402950",3,"NA"
"174","150402985",3,"NA"
"175","150402987",3,"NA"
"176","150400449",2,"NA"
"177","150400470",2,"NA"
"178","150400474",2,"NA"
"179","150400477",2,"FUYUANYU 715; NA"
"180","150400481",2,"NA"
"181","150400485",2,"NA"
"182","150400504",2,"NA"
"183","150400508",2,"NA; LURONGYUANYU 195"
"184","150402883",2,"NA"
"185","150402884",2,"NA"
"186","150402885",2,"NA"
"187","150402896",2,"NA"
"188","150402897",2,"NA"
"189","150402899",2,"NA"
"190","150402910",2,"NA"
"191","150402913",2,"NA"
"192","150402914",2,"NA"
"193","150402915",2,"NA"
"194","150402918",2,"NA"
"195","150402927",2,"NA"
"196","150402928",2,"NA"
"197","150402930",2,"NA"
"198","150402933",2,"NA"
"199","150402943",2,"NA"
"200","150402948",2,"NA"
"201","150407680",2,"NA"
"202","150400462",1,"NA"
"203","150400466",1,"NA"
"204","150400473",1,"NA"
"205","150400489",1,"NA"
"206","150400509",1,"NA"
"207","150400814",1,"NA"
"208","150401130",1,"NA"
"209","150401172",1,"NA"
"210","150402339",1,"NA"
"211","150402565",1,"NA"
"212","150402881",1,"NA"
"213","150402886",1,"NA"
"214","150402888",1,"NA"
"215","150402891",1,"NA"
"216","150402892",1,"NA"
"217","150402893",1,"NA"
